,episode,rev_title,rev_content,rvr_rating
5,"""Star Trek: Enterprise"" Home (TV Episode 2004)",Back to Modern Earth,"In ""Home"", the Enterprise finally arrives back to Earth (during their own time period) and the crew attempt to reacclimate themselves. Archer grows frustrated during a debriefing when the Vulcan ambassador questions his methods involving destroying the Vulcan ship Seleya in the Expanse. He goes mountain climbing with an old flame. T'Pol takes Trip to Vulcan with her. When T'Pol's ex-fiancée promises to reinstate T'Les (T'Pol's mother) to her old position if T'Pol marries him, T'Pol must decide between Trip and family. Reed and Travis take Dr. Phlox out to a bar but a new wave of Xindi-caused xenophobia creates issues for Phlox on Earth. We end the episode with T'Pol on the altar. This was a nice change of pace from all the war and fighting we got in Season 3. Besides the bar brawl and a nightmare that Archer has, this episode is entirely focused on character development and interactions. Trip & T'Pol's relationship is at a crossroads and the ""will they/won't they"" dynamic appears to be something that will continue onward into Season 4. The xenophobia on Earth is an interesting subplot that could lead to further development in Season 4. Even though the Xindi have been defeated, many still dislike Star Fleet's mission of exploring the universe and stirring up trouble. Archer seems like a more cynical, changed man since when he first began his mission. When he gets back to exploring will his demeanor change or will he turn into a gruff, pessimistic Captain?",7
6,"""Star Trek: Enterprise"" Home (TV Episode 2004)",Great!,"This is another relatively ""businesslike"" episode of ""Enterprise"" following hard on the heels of the very dynamic if slightly questionable kickoff and follow-through from Season 3 with ""Storm Front"". In a sense, then, ""Home"" provides the genuine start of the 4th (and regrettably final) season. And here the makers again show how much good work they can do with relatively straightforward, if very worthwhile storylines. Earth has been holding its breath for a long while, and naturally treats the returning ""Enterprise"" crew as heroes, but the latter don't fully know how to react to a time of peace and opportunity that cannot erase their memories of fight, struggle, destruction and the odd morally-dubious decision. And there are also more dark clouds, as Xindi-promoted xenophobia reappears on Earth and issues thought resolved long ago have to be re-addressed afresh. Vulcan-Earth matters also gain further exploration, and make progress - on both planets, since T'Pol takes Trip with her as she also goes ""home"". In these contexts, there is a great deal of thoughtful and well thought-out content here, the only pity of it being lack of time to explore the issues quite as well as might have been the case, as well as an emotionally dramatic (and far too abrupt) episode ending that leads into an apparently entirely-unconnected 4th episode, and thus leaves true closure far away! Odd, in a way, and a little bit of sublime-to-ridiculous presentation work that builds much and then leaves feelings dissipated.But the ""core"" of the episode as such offers plenty.",9
0,"""Star Trek: Enterprise"" Borderland (TV Episode 2004)",Dr. Soong and the Augments,"The Klingons are preparing for war against the Starfleet after the attack of two enhanced humans to a Bird of Prey that was stolen and the dead bodies of the crew launched to the space. The Starfleet command assigns Captain Archer to capture the Augments that they believe that have been created by the imprisoned genetic engineer Dr. Soong to prevent the imminent war. The Enterprise heads to the borderland with Dr. Soong on board but nine crew-member including T'Pol are captured by the Orion Syndicate to be sold in a market slave. Captain Archer and Dr. Soong are beamed to the location to rescue the group. Meanwhile, there is a dispute for the leadership of the Augments between the leader Raakin and the ambitious and rebel Malik. ""Borderline"" is an engaging episode of Enterprise and it is great to see Brent ""Data"" Spinner in the role of a dangerous villain that is a sort of combination of Hitler and God. Let's see how Captain Archer and his crew will deal with the powerful and skilled beings. My vote is eight.Title (Brazil): ""Fronteira' (""Frontier"")",8
1,"""Star Trek: Enterprise"" Borderland (TV Episode 2004)",Genetically enhanced supermen with mullets,"This story seems a welcome guess appearance from Brent Spiner, best known for playing Data in ""The Next Generation"", here he plays Dr. Arik Soong an ancestor of Data's creator. Arik Soong is not one of the good guys; he is a genetic engineer who has created a group of genetically modified super humans called ""augments"". While he has been in prison his augments have grown up and have captured a Klingon ship for reasons which aren't initially known. The Klingons are understandable less than happy about this and it looks as if they may attack Earth in retaliation. In order to prevent this Archer and the crew of the Enterprise are dispatched to find the Augments with the help of Dr Soong. As they travel through the borderlands where the Augment's attack took place they are ambushed by Orion slave traders who beam several crew members off the ship to be sold for slaves. Archer and Soong go to the slave market to try to free the crew members during this mission Soong tries to escape but us recaptured.., only to be freed once again when the Augments come to the Enterprise.This was a pretty good story which as well as seeing a guest appearance from Brent Spiner saw a brief appearance of an Orion slave girl... the ""green girl"" from the original Star Trek. The only thing I wasn't so keen on was the appearance of the Augments; if Soong created a race a super humans surely he could have given them better taste... mullets and clothes that make them look like extras in Mad Max don't look impressive.",8
2,"""Star Trek: Enterprise"" Borderland (TV Episode 2004)",Excellent Opening to an Excellent Trilogy,"Star Trek: Enterprise's Augments trilogy is a highlight in the many episodes of Star Trek. The three Episodes ""Boarderland"", ""Cold Station 12"" and ""The Augments"" are among my all-time favorites. The trilogy combines 2 elements of lore that fans will love: The Eugenics Wars and Brent Spiner. Spiner steals the show in all three episodes. Basic plot of this episode: A group of genetically enhanced humans left over from the Eugenics Wars take over a Klingon ship. With war looming over the horizon, the STARSHIP ENTERPRISE takes Aurik Soong (Brent Spiner), the man who activated the embryos of these humans, to try and stop them.If you're new to Star Trek, definitely catch this trilogy first",
3,"""Star Trek: Enterprise"" Borderland (TV Episode 2004)",Wow...the humans seemed amazingly stupid in this one.,"Dr. Arik Soong (Brent Spiner...again) has been in prison for doing bad things...making 'augments'. While they never say it, they seem like the same sorts of beings that caused war on Earth and from which the dreaded Kahn was a member. However, they are willing to let him out of prison, at least temporarily, because some of Soong's 'children' have grown into psychopaths who murdered a Klingon crew and stole their ship. The big question is why would Soony help them?!On the way to apparently get these renegades, pirates from Orion kidnap a bunch of crew from Enterprise and Archer goes with Soong to the Orion home world to rescue them. Again, you wonder why they trust Soong. And, after Soony does EXACTLY what the audience expects, the Captain and his crew seem pretty stupid--like they have no plan or idea what to do.While this episode is interesting, the stupidity of the Enterprise crew makes this all seem a bit contrived and disappointing. As a result, it's all very weak.",7
4,"""Star Trek: Enterprise"" Borderland (TV Episode 2004)",Data's Dad,"There is no end to the problems that show up for Enterprise. Arik Soong (Brent Spiner) is the mega-geneticist who has caused untold destruction in the universe. Millions have died because of his engineering. He is being held in prison because he is beyond genius in the most evil way. Now, some of the products of his work, augments, young people who have been given superhuman strengths and intellects, have taken their powers and are ready to become a force. They capture a Klingon war bird, killing the entire crew and jettisoning them into space. The now have the vehicle to start their destructive plans. They have the goal of being reunited with their ""father"" Soong. Together, they feel they can rule the universe. They have it in for earth because they were rejected by the planet in their infancy. If they have a weakness, it's an internal power struggle. They still have the weaknesses of jealousy and arrogance.",9
5,"""Star Trek: Enterprise"" Borderland (TV Episode 2004)",Star trek and other universes plots.,Just saw this episode and it got me thinking. Star trek is incredible when it comes to combining different shows. On Gene Roddenberrys Andromeda the human have allied them selves with the betraying kind nichians. Just could not help combing them with the genetic advanced human in this episode. And when the leader of the G.A gang quotes a philosopher Nichan. I just cant help to see a resemblance. And in S.T first contact the trivia say there is a scene where the millennium falcon from Star wars helps the Enterprise against the Borg. Could star trek be just the beginning of Andromeda. I just say Awesome,7
6,"""Star Trek: Enterprise"" Borderland (TV Episode 2004)",Back on the Road,"In ""Borderland"", a group of genetically-enhanced humans known as Augments capture a Bird of Prey, much to the chagrin of the Klingon Empire who blame Earth. With war between the two species impending, Star Fleet sends out Enterprise to find the Augments and bring them back to Earth. Archer is forced to bring along their creator, Dr. Soong who has been imprisoned for his previous experiments. Soong leads them into the Borderland, a contested area of space between the Klingon Empire and the Orion Syndicate. The Enterprise is attacked by the Orions. A group of crew members, including T'Pol, are captured and taken to a slave market. Archer and Soong must head there and attempt to take the crew back. This episode was a lot of fun and had a real ""Star Trek feel"" to it, reminiscent of older shows. All the different slaves and slave traders species we see at the Orion slave market give it a real sci-fi feel. The inclusion of Brent Spiner was exciting and unexpected. His ""scienctific progress before anything else"" mantra is classic evil scientist reasoning.This looks like it could turn into a very exciting plot line moving forward.",8
7,"""Star Trek: Enterprise"" Borderland (TV Episode 2004)",Brent Spiner is always Brent Spiner.,"And he is great, and he made these Canon-Breaking episodes watchable.The Problem with Enterprise is that although this is 100 years before KIRK, excuses are always being made to bring in Tech we know never existed until the 24th Century - In the hands of the Federation! This was because one of the Show Creators, Braga, was stuck forever in a Season 7 Next Generation Temporal Causality Loop.We all loved Star Terk Next Gen, and some of us even liked Season 7 - I Know Brent did, but many people DON'T. Why? Because of Brannon Braga. I personally liked the guy's ideas, but he could never really move on from that High Point. As Troi tells Mr Barclay in ""The Nth Degree"" - ""We always have that one time in our lives where we surpass ourselves- The Trick is leaning how to live after that."" - But Braga, who did great as a writer most of the time, could not move away from that Season 7 Next Gen dynamic - And when he tried, what did he do? He destroyed the best Trek Ship ever- When we KNEW that the Enterprise D was to appear in the Future- Per both Next Gen and Voyager canon.Now, it is not that Temporal Causality Loops are bad. But Braga would always return the universe to it's original state. Except for the Voyager Arc, ""The Year of Hell"" - He actually kept the changes, which was an excuse tor Janeway to lose that lousy ""Bun"" hairdo. Actually, this was the only major change in the time-line that was carried over - This was done one time more, earlier in the series, with Kes, she has Short Pixie hair in the beginning of one 'sode, then long beautiful blonde hair after.So, Braga will change time-lines, IF it only has to do with Hair, or maybe, Uniforms or Com Badges.Stet? OK, so what have we here? AUGMENTS. Funny, neither Khan Noonian Singh nor Dr Julian Subatoy Bashir were ever referred to that way. Hmph. But then again, we have Paul Atreides aka Alec Newman - With A MULLET - With one other guy licking the Arses of a WHOLE ship of Klingons. A Bird of Prey, even.It's not that I never liked the effects of Enterprise - It was the whole DS9 crew, Marvin Rush, Dan Curry, Mike Okuda and Rick Sternbach maybe, it all LOOKED great.But this is supposed to be a more primitive time than TNG DS9 and VOY. Starfleet didn't use PADDS back then, they used a large surface with a Stylus.Plus, the Orion Syndicate. Don't know if they existed back then, BUT, it is a good idea, but they kidnapped half of the NX01 crew TOO QUICKLY. Maybe it is because these eps are only 41 Minutes long- Very short compared to TOS which was always 50 minutes, and TNG/Nine/Voy which was always 45 minutes. However, we DID get to see the selling of an Orion Slave Girl. But we know from Canon, Orion Slave Girls DID NOT wear compulsory gadgets on their necks to control them- We were taught THEY controlled MEN.But there was this one HUGE Orion guy, he lifted up T'Pal as if she were a kitten! I loved that she kicks this guy in the Groin and he comes tumbling WAY down.There were a lot of things I liked about this, ergo, the 8 rating. I love the Effects, of which there are a LOT in this series. I loved the Wide Screen aspect Ratio- Babylon 5 broadcast every episode in 16/9 - Why couldn't TREK do this? It depresses me to this day.Well, this Gang of Mulleted Intergalactic Hoodlums, led by Alec after he kills his way to the top, was not really ""made"" by Arik Soong - Soong merely found the Embryos, so as ""bad"" as they were, they were built that way. Newman was a good choice for Male Mullethead, but this story has a chick that Newman and another Alpha Male are fighting over- Sorry, but I DO NOT see anyone fighting over the Skag from these eps. Sorry, Nope, Shudder and Ugh. Shudder-Brrr. These Kids don't even look as dangerous as the Gang that lives down the street from me, they appear to be a Quasi Military Cadre of Ugly Kids.Spiner brings this episode down to reality level, his performance is actually great.We also get to see ""Martok"" again - Or at least the same Actor once again in great Klingon makeup, JG Hertzger, who seems to be one of the High Council. The Klingons in Ent were done well, but WHEN did they ever do away with their Brow Ridges? Maybe that was an Ent Ep that was going to be made, before Brannon caused this series to end prematurely.",8
8,"""Star Trek: Enterprise"" Borderland (TV Episode 2004)",A Little Too Sadistic,"This episode was a little too sadistic and simplistic for my tastes. This is supposed to be Star Trek. We know the augments are bad. We don't need to see people beaten and tortured and killed with pathogens. I agree with the reviewer who stated that the humans were stupid here. Wasn't really believable to me. This just seemed to be a setup for later episodes. Hopefully, the next episode gets better. Writing this simplistic does not seem very creative to me. Augments bad. All powerful. Humans unable to stop them. For good measure, lets also kill the augment who did not get all the enhancements. No nuance to the writing. Not one of the better Star Trek Enterprise episodes in my opinion. I was grateful it ended and would not it watch again.",1
