,show_sea_ep,ep_title,airdate,synopsis,IMDB_ID,IMDB_user_rating,num_IMDB_usr_rtgs,season,episode,series,year
10,Star Trek: Deep Space Nine - Season 7 - 11,Prodigal Daughter,1999-01-06,Ezri travels to her family home in search of Chief O'Brien who has discovered a murdered woman connected with the family and the Orion Syndicate.,https://www.imdb.com/title/tt0708581,6.4,934,7,11,DS9,1999
11,Star Trek: Deep Space Nine - Season 7 - 12,The Emperor's New Cloak,1999-02-03,Quark and Rom have to rescue Grand Nagus Zek who's being held captive in the alternate universe.,https://www.imdb.com/title/tt0708623,6.4,944,7,12,DS9,1999
12,Star Trek: Deep Space Nine - Season 7 - 13,Field of Fire,1999-02-10,"To find an apparently untraceable murderer, Ezri Dax reluctantly calls up the residual consciousness remnant of her symbiont's past hidden psychopathic murderer host, Joran.",https://www.imdb.com/title/tt0708542,6.8,955,7,13,DS9,1999
13,Star Trek: Deep Space Nine - Season 7 - 14,Chimera,1999-02-17,"After searching out and finding Odo, another changeling asks him to leave DS9 with him, even though the rest of the crew aren't convinced the new changeling is not part of the Founders.",https://www.imdb.com/title/tt0708517,7.3,955,7,14,DS9,1999
14,Star Trek: Deep Space Nine - Season 7 - 15,"Badda-Bing, Badda-Bang",1999-02-24,"When a programming glitch won't go away, mobsters take over Vic's and open for business, but the DS9 gang takes it personal when their favorite hangout is no longer their favorite, and they plan to get the new management ousted.",https://www.imdb.com/title/tt0708502,7.8,1105,7,15,DS9,1999
15,Star Trek: Deep Space Nine - Season 7 - 16,Inter Arma Enim Silent Leges,1999-03-03,"While making plans to attend a medical conference on the Romulan home world, Dr. Bashir is contacted by Sloane of Section 31 and recruited to determine the health of a high-ranking Romulan official. Things turn more desperate, though, when the ranking Starfleet admiral traveling with him, who knows about Section 31's interest in the conference mysteriously suffers a brain aneurysm after Dr. Bashir finds out that Sloane is traveling with the group, as well.",https://www.imdb.com/title/tt0708560,8.5,1063,7,16,DS9,1999
16,Star Trek: Deep Space Nine - Season 7 - 17,Penumbra,1999-04-07,"When the ship Worf was serving on is attacked in battle and all search efforts are abandoned, Ezri takes a runabout in search of him against Sisko's orders. Meanwhile, Sisko proposes to Kassidy Yates.",https://www.imdb.com/title/tt0708579,7.6,913,7,17,DS9,1999
17,Star Trek: Deep Space Nine - Season 7 - 18,'Til Death Do Us Part,1999-04-14,"The Prophets have told Sisko they do not approve of his impending marriage. Having been captured by the Breen, Ezri and Worf still don't know why the Breen would even bother to capture them. Some Cardassians are beginning to think their alliance with the Dominion was a grave mistake. Gul Dukat, disguised as a Bajoran, sets foot on DS9, and continues to unfurl his plan.",https://www.imdb.com/title/tt0708492,7.7,906,7,18,DS9,1999
18,Star Trek: Deep Space Nine - Season 7 - 19,Strange Bedfellows,1999-04-21,"Kai Winn gets unknowingly involved with Gul Dukat, surgically altered to resemble a Bajoran, using the name 'Anjohl.' Tensions further escalate between Weyoun and Legate Damar, as the Dominion gather to sign a peace treaty with the Breen, which includes granting the Breen certain Cardassian territories. Having been held captive by the Dominion, Ezri and Worf try to escape from the Cardassian home world.",https://www.imdb.com/title/tt0708607,8.0,927,7,19,DS9,1999
19,Star Trek: Deep Space Nine - Season 7 - 20,The Changing Face of Evil,1999-04-28,"After the Breen attack Earth, mixed emotions abound on DS9. Kai Winn reveals her true feelings regarding the Prophets to her spiritual guide, a Bajoran farmer named Anjohl, who is a surgically altered Dukat, and turns her back on them, and convinced by him to embrace the Pah Wraiths. On the home world of Cardassia, Legate Damar mounts a resistance to the Dominion.",https://www.imdb.com/title/tt0708617,8.5,979,7,20,DS9,1999
20,Star Trek: Deep Space Nine - Season 7 - 21,When It Rains...,1999-05-05,"Kira gets sent behind Cardassian lines in an effort to train them in resistance fighting. When Dr. Bashir learns of the deadly disease Odo is infected with, he gets met with resistamce whilst trying to obtain his medical records from Starfleet. Martok gets blindsided by Gowron when he arrives on DS9, announcing he has assumed command of the Klingon fleet.",https://www.imdb.com/title/tt0708663,8.3,933,7,21,DS9,1999
21,Star Trek: Deep Space Nine - Season 7 - 22,Tacking Into the Wind,1999-05-12,"Odo is affected by the disease threatening to eliminate his race more than he lets on, while Kira has to deal with the Cardassians' dislike of her. Even though General Martok sees Chancellor Gowron's move as part of a political vendetta, he does nothing about it. Worf suspects Gowron's military strategies are meant to humiliate Martok's command abilities, without thought the consequences have for Klingons as a whole. Meanwhile, O'Brien suggests to Bashir he announce he's found a cure to the Changelings' disease to lure someone from Section 31 to DS9.",https://www.imdb.com/title/tt0708608,8.8,1019,7,22,DS9,1999
22,Star Trek: Deep Space Nine - Season 7 - 23,Extreme Measures,1999-05-19,Dr. Bashir and Chief O'Brien go to some pretty extreme measures to try and track down a cure for Odo.,https://www.imdb.com/title/tt0708535,7.7,952,7,23,DS9,1999
23,Star Trek: Deep Space Nine - Season 7 - 24,The Dogs of War,1999-05-26,"Odo begins recovery from the deadly disease which Dr. Bashir tells him had been engineered by Section 31 in order to wipe out the Founders' entire race, A resistance mission goes bad for Kira and Garak, and they end up hiding in the basement of the house which Garak grew up in. They soon hear Legate Damar - who had been on their mission and was hiding with them - has just become a casualty of war. The Grand Nagus has chosen Quark to become his successor, upon his impending retirement on the pleasure planet, Risa.",https://www.imdb.com/title/tt0708622,8.4,972,7,24,DS9,1999
24,Star Trek: Deep Space Nine - Season 7 - 25,What You Leave Behind,1999-06-02,"As the Dominion War comes to an end, Dukat goes to the Pah Wraiths to awaken them. Meanwhile the Dominion turn on the rebelling Cardassians, destroying them city by city. Will the Alliance prevail over the Dominion? Will Garak and the Rebellion stop them before the destruction of Cardassia? Will Sisko stop the Pah Wraiths from rising?",https://www.imdb.com/title/tt0394907,9.0,1421,7,25,DS9,1999
25,Star Trek: Deep Space Nine - Season 1 - 1,Emissary,1993-01-03,"When the troubled Commander Sisko takes command of a surrendered space station, he learns that it borders a unique stable wormhole.",https://www.imdb.com/title/tt0108214,7.6,3069,1,1,DS9,1993
26,Star Trek: Deep Space Nine - Season 1 - 2,Past Prologue,1993-01-10,"Tahna Los, a former Bajoran terrorist during the Occupation, asks Sisko for asylum on DS9. Meanwhile, the station's last Cardassian inhabitant, Garak, possibly a former spy for the Cardassian government, proves an interesting mystery to Dr. Bashir.",https://www.imdb.com/title/tt0708576,7.1,1465,1,2,DS9,1993
27,Star Trek: Deep Space Nine - Season 1 - 3,A Man Alone,1993-01-17,"Ibudan, a criminal Odo has dealt with before, returns to DS9 only to be murdered shortly after - leaving Odo to be the prime suspect. Jake and Nog's trouble making prompt Keiko to do something helpful for the station's children.",https://www.imdb.com/title/tt0708494,6.9,1417,1,3,DS9,1993
28,Star Trek: Deep Space Nine - Season 1 - 4,Babel,1993-01-24,"The crew and civilian population of Deep Space Nine begin to speak gibberish when a plague - an 'aphasia virus' - engineered by the Bajorans as a weapon against the Cardassians, accidentally gets released into the station's atmosphere.",https://www.imdb.com/title/tt0708501,7.0,1383,1,4,DS9,1993
29,Star Trek: Deep Space Nine - Season 1 - 5,Captive Pursuit,1993-01-31,For the first time an alien comes from the other side of the wormhole. He has ship trouble and seems very reluctant to accept any help. Chief O'Brien quickly finds out he has a secret.,https://www.imdb.com/title/tt0708513,7.7,1426,1,5,DS9,1993
30,Star Trek: Deep Space Nine - Season 1 - 6,Q-Less,1993-02-07,"Q, the Enterprise-D's consistent omnipotent annoyance, comes to harass the DS9 crew when his traveling companion, Vash, refuses to travel with Q any longer.",https://www.imdb.com/title/tt0708586,6.9,1381,1,6,DS9,1993
31,Star Trek: Deep Space Nine - Season 1 - 7,Dax,1993-02-14,"Jadzia Dax is accused of a murder that her previous host, Curzon, supposedly committed.",https://www.imdb.com/title/tt0708523,7.2,1347,1,7,DS9,1993
32,Star Trek: Deep Space Nine - Season 1 - 8,The Passenger,1993-02-22,"Rao Vantika, a captured criminal, is badly burned and dies in Bashir's arms but the criminal's captor believes that he is still alive.",https://www.imdb.com/title/tt0708633,6.4,1281,1,8,DS9,1993
33,Star Trek: Deep Space Nine - Season 1 - 9,Move Along Home,1993-03-14,"The Wadi from the Gamma Quadrant visit DS9, thereby making first contact with the Federation. When they catch Quark cheating, they let him off by playing a special game.",https://www.imdb.com/title/tt0708569,6.0,1386,1,9,DS9,1993
34,Star Trek: Deep Space Nine - Season 1 - 10,The Nagus,1993-03-21,"The Ferengi leader, Grand Nagus Zek, comes to the station. He seems very interested in Quark's bar.",https://www.imdb.com/title/tt0708632,7.2,1283,1,10,DS9,1993
35,Star Trek: Deep Space Nine - Season 1 - 11,Vortex,1993-04-18,"A man named Croden tells Odo he can take him to a place where aliens much like Odo himself exist, which would help Odo find out where he truly comes from.",https://www.imdb.com/title/tt0708659,7.1,1255,1,11,DS9,1993
36,Star Trek: Deep Space Nine - Season 1 - 12,Battle Lines,1993-04-25,"After showing Bajoran spiritual leader Kai Opaka the wormhole, she, Sisko, Bashir and Kira crash land on a moon. Kai Opaka dies and the three meet the unfriendly locals.",https://www.imdb.com/title/tt0708504,6.7,1247,1,12,DS9,1993
37,Star Trek: Deep Space Nine - Season 1 - 13,The Storyteller,1993-05-02,"While Sisko tries to negotiate an agreement between two Bajoran factions, he orders O'Brien to escort Bashir to investigate an emergency that endangers a village.",https://www.imdb.com/title/tt0708643,6.1,1263,1,13,DS9,1993
38,Star Trek: Deep Space Nine - Season 1 - 14,Progress,1993-05-09,Kira must convince an old Bajoran farmer to leave a moon becoming uninhabitable due to mining operations. Jake and Nog try to trade off Cardassian yamok sauce.,https://www.imdb.com/title/tt0708584,6.9,1268,1,14,DS9,1993
39,Star Trek: Deep Space Nine - Season 1 - 15,If Wishes Were Horses,1993-05-16,"While Dax investigates an unusual energy reading near DS9 to see if it's dangerous for the station, people's imaginations suddenly come alive, causing chaos.",https://www.imdb.com/title/tt0708551,6.5,1238,1,15,DS9,1993
40,Star Trek: Deep Space Nine - Season 1 - 16,The Forsaken,1993-05-23,"Lwaxana Troi comes for a political visit and instead hounds Odo for romantic attention. Meanwhile, an alien probe wreaks havoc with the station's computer, leaving Odo and Lwaxana trapped together.",https://www.imdb.com/title/tt0708624,7.0,1211,1,16,DS9,1993
41,Star Trek: Deep Space Nine - Season 1 - 17,Dramatis Personae,1993-05-30,"The entire station's command staff, save Odo, become power hungry and vie to defeat each other by forming secret alliances and plotting assassinations. Odo tries to figure out the cause of this mysterious behavior.",https://www.imdb.com/title/tt0708528,7.1,1202,1,17,DS9,1993
42,Star Trek: Deep Space Nine - Season 1 - 18,Duet,1993-06-13,"A Cardassian suffering from Kalla-Nohra, a disease that indicates he served in a labor camp, visits DS9. Kira is determined to convict him as a war criminal.",https://www.imdb.com/title/tt0708529,9.1,2009,1,18,DS9,1993
43,Star Trek: Deep Space Nine - Season 1 - 19,In the Hands of the Prophets,1993-06-20,"Vedek Winn, a candidate in the race for the open Kai position, stirs up trouble on DS9 when she attempts to boycott Keiko's school for not teaching Bajoran religious beliefs.",https://www.imdb.com/title/tt0708556,7.8,1277,1,19,DS9,1993
44,Star Trek: Deep Space Nine - Season 2 - 1,The Homecoming,1993-09-26,"Word that a previously thought dead Bajoran resistance legend is still alive sends Kira and Chief O'Brien to Cardassia IV to rescue him; meanwhile ""The Circle"", a sect of the Bajoran provisional government that is intent on wiping out alien influence, is sneaking into power.",https://www.imdb.com/title/tt0708625,7.7,1249,2,1,DS9,1993
45,Star Trek: Deep Space Nine - Season 2 - 2,The Circle,1993-10-03,"Kira spends time with Vedek Bareil on Bajor just as ""The Circle"" begins arming themselves from a mysterious source.",https://www.imdb.com/title/tt0708618,7.7,1230,2,2,DS9,1993
46,Star Trek: Deep Space Nine - Season 2 - 3,The Siege,1993-10-10,"As a Circle-led Bajoran military attempts to occupy the station, a skeleton crew, led by Sisko fight to reveal the Circle's secret before they're forced to evacuate themselves. Meanwhile, Kira and Dax lead a mission to reveal the truth about the Circle, on Bajor.",https://www.imdb.com/title/tt0708639,7.9,1240,2,3,DS9,1993
47,Star Trek: Deep Space Nine - Season 2 - 4,Invasive Procedures,1993-10-17,"A jealous Trill, who had waited his entire life to receive a symbiont but never did, decides to steal Dax's.",https://www.imdb.com/title/tt0708561,7.0,1171,2,4,DS9,1993
48,Star Trek: Deep Space Nine - Season 2 - 5,Cardassians,1993-10-24,Political tensions rise on DS9 when Bajorans board the station with a supposedly orphaned Cardassian whom they have adopted.,https://www.imdb.com/title/tt0708514,7.6,1217,2,5,DS9,1993
49,Star Trek: Deep Space Nine - Season 2 - 6,Melora,1993-10-31,"Melora Pazlar, a new arrival on DS9 with a special gravity-based disability, finds an admirer in Bashir. Meanwhile, an old associate of Quark's comes to the station to kill the bartender.",https://www.imdb.com/title/tt0708567,6.5,1202,2,6,DS9,1993
50,Star Trek: Deep Space Nine - Season 2 - 7,Rules of Acquisition,1993-11-07,"A female Ferengi named Pel, posing as a male so that she can engage in business, falls for Quark during very important negotiations between the Ferengi and a Gamma Quadrant race.",https://www.imdb.com/title/tt0708593,7.5,1208,2,7,DS9,1993
51,Star Trek: Deep Space Nine - Season 2 - 8,Necessary Evil,1993-11-14,"Odo relives some terrible and tragic memories of a past investigation when he was the constable on Cardassian-occupied Deep Space Nine, then named Terok Nor.",https://www.imdb.com/title/tt0708570,8.2,1292,2,8,DS9,1993
52,Star Trek: Deep Space Nine - Season 2 - 9,Second Sight,1993-11-21,"While noted scientist Gideon Seyetik is preparing for an ambitious project, re-igniting a star, Sisko is intrigued by a woman who keeps disappearing.",https://www.imdb.com/title/tt0708597,6.2,1151,2,9,DS9,1993
53,Star Trek: Deep Space Nine - Season 2 - 10,Sanctuary,1993-11-28,"A race that has been conquered twice over, one of the conquerors being the mysterious Dominion, comes to the station seeking aid and a new home.",https://www.imdb.com/title/tt0708596,6.6,1155,2,10,DS9,1993
54,Star Trek: Deep Space Nine - Season 2 - 11,Rivals,1994-01-02,"Quark meets his match when a new rival opens a casino opposite his bar on the Promenade. Meanwhile, the station is suffering issues of high improbability.",https://www.imdb.com/title/tt0708591,6.6,1111,2,11,DS9,1994
55,Star Trek: Deep Space Nine - Season 2 - 12,The Alternate,1994-01-09,Odo and his mentor Dr. Mora Pol discover a lifeform similar to Odo on a Gamma Quadrant planet.,https://www.imdb.com/title/tt0708613,6.8,1108,2,12,DS9,1994
56,Star Trek: Deep Space Nine - Season 2 - 13,Armageddon Game,1994-01-30,"Chief O'Brien, who still doesn't particularly like Doctor Bashir, must rely on him when the two are stranded on a planet and O'Brien is infected with a deadly, fast moving disease.",https://www.imdb.com/title/tt0708500,7.5,1154,2,13,DS9,1994
57,Star Trek: Deep Space Nine - Season 2 - 14,Whispers,1994-02-06,Chief O'Brien's world is turned upside down when for no reason whatsoever he is being ignored by his family and friends and is being closed out of every essential job on the station.,https://www.imdb.com/title/tt0708664,8.3,1310,2,14,DS9,1994
58,Star Trek: Deep Space Nine - Season 2 - 15,Paradise,1994-02-13,Sisko and Chief O'Brien discover a colony which lives without technology.,https://www.imdb.com/title/tt0708574,6.8,1217,2,15,DS9,1994
59,Star Trek: Deep Space Nine - Season 2 - 16,Shadowplay,1994-02-20,"Odo and Dax investigate the mysterious disappearance of people from a village. Kira tries to keep a close eye on Quark, while Vedek Bareil unexpectedly visits.",https://www.imdb.com/title/tt0708599,7.4,1167,2,16,DS9,1994
60,Star Trek: Deep Space Nine - Season 2 - 17,Playing God,1994-02-27,"A Trill named Arjin comes to DS9 to learn what it is to be a Trill with a symbiont but finds his teacher, Dax, to be less than he expected.",https://www.imdb.com/title/tt0708580,6.5,1103,2,17,DS9,1994
61,Star Trek: Deep Space Nine - Season 2 - 18,Profit and Loss,1994-03-20,"A Cardassian woman named Natima Lang, who was once a flame of Quark's, visits the station under dubious circumstances.",https://www.imdb.com/title/tt0708583,7.3,1138,2,18,DS9,1994
62,Star Trek: Deep Space Nine - Season 2 - 19,Blood Oath,1994-03-27,Three legendary Klingons come to DS9 to see if Jadzia will participate in a blood oath that they made with Dax's previous host Curzon.,https://www.imdb.com/title/tt0708507,8.0,1286,2,19,DS9,1994
63,Star Trek: Deep Space Nine - Season 2 - 20,The Maquis: Part I,1994-04-24,"The destruction of a Cardassian ship leads Sisko, Dukat, and Sisko's old friend Cal Hudson to the fact that there is an unofficial war between the Maquis and the Cardassians.",https://www.imdb.com/title/tt0708629,7.9,1165,2,20,DS9,1994
64,Star Trek: Deep Space Nine - Season 2 - 21,The Maquis: Part II,1994-05-01,"Sisko tries to resolve the Maquis crisis by preventing a war, freeing Gul Dukat and offering the defected Hudson the chance to return.",https://www.imdb.com/title/tt0708630,7.9,1148,2,21,DS9,1994
65,Star Trek: Deep Space Nine - Season 2 - 22,The Wire,1994-05-08,"Dr. Bashir fights to save Garak's life when a device implanted in his brain, designed to alleviate pain in the event of torture, begins to malfunction and is slowly killing him.",https://www.imdb.com/title/tt0708648,8.3,1251,2,22,DS9,1994
66,Star Trek: Deep Space Nine - Season 2 - 23,Crossover,1994-05-15,Kira and Bashir find themselves in an alternate universe.,https://www.imdb.com/title/tt0708522,8.1,1223,2,23,DS9,1994
67,Star Trek: Deep Space Nine - Season 2 - 24,The Collaborator,1994-05-22,"Vedek Bareil's targeted by fellow Kai candidate, Vedek Winn as having been a collaborator with the Cardassians during the Occupation.",https://www.imdb.com/title/tt0708619,7.1,1087,2,24,DS9,1994
68,Star Trek: Deep Space Nine - Season 2 - 25,Tribunal,1994-06-05,Chief O'Brien goes through the horrific Cardassian judicial system when he is charged for an unknown crime.,https://www.imdb.com/title/tt0708656,7.6,1114,2,25,DS9,1994
69,Star Trek: Deep Space Nine - Season 2 - 26,The Jem'Hadar,1994-06-12,"While in the Gamma Quadrant, Sisko, Quark and a strange telepathic woman are captured by the Jem'Hadar, the soldiers of the Dominion.",https://www.imdb.com/title/tt0708627,8.5,1245,2,26,DS9,1994
70,Star Trek: Deep Space Nine - Season 3 - 1,The Search: Part I,1994-09-26,"Instead of waiting for the Jem'Hadar to attack, Sisko wants to try a different tactic; he wants to take a new class starship to try to find the Founders.",https://www.imdb.com/title/tt0708636,8.4,1236,3,1,DS9,1994
71,Star Trek: Deep Space Nine - Season 3 - 2,The Search: Part II,1994-10-03,Odo has found his home and is introduced. Meanwhile Sisko finds out peace talks between the Dominion and the Federation have already started.,https://www.imdb.com/title/tt0708637,8.3,1213,3,2,DS9,1994
72,Star Trek: Deep Space Nine - Season 3 - 3,The House of Quark,1994-10-10,"Quark is forced to marry a Klingon widow after he takes credit for the accidental death of her husband, the head of a powerful Klingon House.",https://www.imdb.com/title/tt0708626,8.1,1258,3,3,DS9,1994
73,Star Trek: Deep Space Nine - Season 3 - 4,Equilibrium,1994-10-17,"The Trill homeworld is the setting, as Sisko and Bashir take Jadzia home for treatment when she begins experiencing hallucinations after playing a tune she can't recall.",https://www.imdb.com/title/tt0708533,6.7,1086,3,4,DS9,1994
74,Star Trek: Deep Space Nine - Season 3 - 5,Second Skin,1994-10-24,Kira finds herself on Cardassia as a Cardassian. She is told she is called Iliana Ghemor and was a Cardassian spy.,https://www.imdb.com/title/tt0708598,7.9,1183,3,5,DS9,1994
75,Star Trek: Deep Space Nine - Season 3 - 6,The Abandoned,1994-10-31,"Odo tries to change the nature of a rapidly maturing Jem'Hadar infant, Quark finds, whilst Sisko tries to break his son's relationship with a 20 year old Dabo girl.",https://www.imdb.com/title/tt0708611,7.0,1082,3,6,DS9,1994
76,Star Trek: Deep Space Nine - Season 3 - 7,Civil Defense,1994-11-07,The station goes into lockdown and the crew is endangered when an old Cardassian security program is accidentally activated.,https://www.imdb.com/title/tt0708519,8.0,1223,3,7,DS9,1994
77,Star Trek: Deep Space Nine - Season 3 - 8,Meridian,1994-11-14,"Dax falls in love with one of the residents of a multi-dimensional planet, while on DS9 an alien requests a holosuite program of Kira from Quark.",https://www.imdb.com/title/tt0708568,5.7,1158,3,8,DS9,1994
78,Star Trek: Deep Space Nine - Season 3 - 9,Defiant,1994-11-21,Riker arrives on the station to requisition the Defiant in order to fight with the Maquis. Sisko assists Gul Dukat on Cardassia Prime to prevent the ship from entering Cardassian territory.,https://www.imdb.com/title/tt0708524,8.1,1227,3,9,DS9,1994
79,Star Trek: Deep Space Nine - Season 3 - 10,Fascination,1994-11-28,"When Lwaxana Troi visits the station for the Bajoran Gratitude Festival, the crew is stricken with intense romantic attractions to one another.",https://www.imdb.com/title/tt0708539,6.3,1118,3,10,DS9,1994
80,Star Trek: Deep Space Nine - Season 3 - 11,Past Tense: Part I,1995-01-02,"Sisko, Bashir and Dax are accidentally sent to San Francisco in the 21st century due to a transporter malfunction, and must figure out how to get back to return without changing the time line.",https://www.imdb.com/title/tt0708577,8.0,1241,3,11,DS9,1995
81,Star Trek: Deep Space Nine - Season 3 - 12,Past Tense: Part II,1995-01-09,Sisko is forced to take the place of a key historical figure on Earth in 2024 in order to preserve the timeline.,https://www.imdb.com/title/tt0708578,8.1,1226,3,12,DS9,1995
82,Star Trek: Deep Space Nine - Season 3 - 13,Life Support,1995-01-30,Dr. Bashir must use extraordinary measures to prolong Vedek Bareil's life long enough to allow Bareil to complete sensitive peace negotiations between the Bajorans and the Cardassians.,https://www.imdb.com/title/tt0708564,6.8,1071,3,13,DS9,1995
83,Star Trek: Deep Space Nine - Season 3 - 14,Heart of Stone,1995-02-06,"After chasing a fugitive into a cave, Kira gets stuck and is slowly encapsulated by a growing crystal stone while Odo tries to figure out how to free her.",https://www.imdb.com/title/tt0708546,7.4,1090,3,14,DS9,1995
84,Star Trek: Deep Space Nine - Season 3 - 15,Destiny,1995-02-13,Sisko faces a conflict between his Starfleet duties and his role as the Bajoran Emissary when an ancient Bajoran prophecy predicts a joint Federation-Cardassian project will lead to the destruction of the wormhole.,https://www.imdb.com/title/tt0708525,7.5,1065,3,15,DS9,1995
85,Star Trek: Deep Space Nine - Season 3 - 16,Prophet Motive,1995-02-20,Grand Nagus Zek is acting bizarre by giving away money and rewriting the Rules of Acquisition. Quark attempts to get the old Nagus back.,https://www.imdb.com/title/tt0708585,6.8,1038,3,16,DS9,1995
86,Star Trek: Deep Space Nine - Season 3 - 17,Visionary,1995-02-27,"While a Romulan delegation tries to get information about the Dominion, O'Brien gets visions of unpleasant things that are about to happen in the future.",https://www.imdb.com/title/tt0708658,7.9,1101,3,17,DS9,1995
87,Star Trek: Deep Space Nine - Season 3 - 18,Distant Voices,1995-04-10,"After being attacked in the infirmary, Dr. Bashir has a dual mystery on his hands: what has happened to the station while he was out and why is he aging so rapidly now?",https://www.imdb.com/title/tt0708526,6.6,1075,3,18,DS9,1995
88,Star Trek: Deep Space Nine - Season 3 - 19,Through the Looking Glass,1995-04-17,Sisko is kidnapped and forced to impersonate his deceased mirror universe counterpart in order to convince Jennifer Sisko to defect to the Terran Rebellion.,https://www.imdb.com/title/tt0708650,7.6,1077,3,19,DS9,1995
89,Star Trek: Deep Space Nine - Season 3 - 20,Improbable Cause,1995-04-24,"After an attempt is made on Garak's life, Odo conducts the investigation on who tried to murder the Cardassian tailor - and why.",https://www.imdb.com/title/tt0708553,8.7,1266,3,20,DS9,1995
90,Star Trek: Deep Space Nine - Season 3 - 21,The Die Is Cast,1995-05-01,"Now rejoined with his former mentor, Garak is ordered to interrogate Odo about the secrets of his people, while the joined Romulan/Cardassian attack fleet moves towards the Founders' home world on a mission of destruction.",https://www.imdb.com/title/tt0708621,9.0,1339,3,21,DS9,1995
91,Star Trek: Deep Space Nine - Season 3 - 22,Explorers,1995-05-08,"Sisko rebuilds an ancient Bajoran space vessel from the blueprints, and he and Jake take the ship on a trip, attempting to prove that the ancient Bajorans went beyond their solar system without warp drive.",https://www.imdb.com/title/tt0708534,7.4,1130,3,22,DS9,1995
92,Star Trek: Deep Space Nine - Season 3 - 23,Family Business,1995-05-15,"Quark and Rom return to the Ferengi home world because their mother has broken the law - by wearing clothes and earning profits, forbidden for women in Ferengi society.",https://www.imdb.com/title/tt0708537,7.3,1074,3,23,DS9,1995
93,Star Trek: Deep Space Nine - Season 3 - 24,Shakaar,1995-05-22,News arrives that Kai Winn has also become Bajor's political leader. She asks Kira to negotiate with an old resistance friend about returning soil reclamators.,https://www.imdb.com/title/tt0708601,7.0,1021,3,24,DS9,1995
94,Star Trek: Deep Space Nine - Season 3 - 25,Facets,1995-06-12,Dax asks the crew to join her Zhian'tara ritual. The memories of her former hosts will take over their bodies. Nog is preparing for Starfleet Academy.,https://www.imdb.com/title/tt0708536,7.3,1046,3,25,DS9,1995
