,episode,rev_title,rev_content,rvr_rating
10,"""Star Trek: The Next Generation"" Descent: Part II (TV Episode 1993)",Interesting note - Main contain information about a prior episode that could be considered a spoiler.,"In season 6, Dr Crusher tries to help a murdered Ferengi scientist prove that a shield technology works. In that episode, a rival scientist hi-jacks a shuttle that has the modified shields and Dr Crusher on-board. This scientist, Dr. Jo'Brill, is played by James Horan. In this episode of Decent, James Horan plays a Lt. Barnaby in which the metophasic shields are mentioned and used to protect the Enterprise.The shielding is used to enter the suns corona to escape a borg ship that is chasing them thru an uncharted part of the galaxy, while the crew of the ship is stranded on a planet, looking for Lt. Cmdr. Data.",8
11,"""Star Trek: The Next Generation"" Descent: Part II (TV Episode 1993)",strange new odds..,"Star Trek: The Next GenerationRoddenberry's second creation of an elite group exploring space through humanity is a remarkable milestone for not only television but the sci-fi genre itself. As it quips repetitively, it dares go where no one has been before, and analyzes the good and bad of the nature. And it's that wide range of nature that is touched down, in all its hokum that it calls for, the answers are overwhelming to all the questions thrown out to it. Unlike the previous series, it has much more characters to handle which is a double edge sword. On the pro section, it helps writers jump in on diverse categories through them and swoop in as much as material possible through their individual perspective and still keep it all inside a definite and familiar circle.On the other hand, it also is challenging to fiddle around these many characters on screen, especially the amount of new contents and eerie ideas each episode comes up with, it increases the possibility to lean towards flaws. And yes, it has its own limitation, but in its own gullible range and potential, it just simply works. Plus, what's fascinating is despite of being brimmed with these many personas floating about in the space, they haven't allotted any stereotypical specific characteristics to the characters, their species and nature may definitely vary, but a cheesy note is strictly prohibited in Enterprise-D.The infamous Capt. Jean-Luc Picard played by Stewart who is mostly known by this role from his career, is exceptionally well crafted character that is simply nothing but a good leader and add Stewart's performance to that, the outcome is your iconic character that survives decades easily. Sirtis as the consciously enhanced counselor fits perfectly in the ship and the makers makes sure either they keep her up front to notify the shady part of the plot or distracts her wisely to advance the plot.Frakes, once again, a competent leader and warrior that is more explored into love affairs while Dorn as a hot head and Burton as the most adapting and willful learner on the ship helps make the environment more engaging and realistic. Spiner as the android, Lt. Commander Data, who means nothing but business, unfortunately, is the guy that means the least amount of business, often relied upon for the humor, he might be explored thoroughly but is rarely projected with sincerity.Personally, I prefer Stewart's mellow equation with Wheaten who looks up to him as a father figure and adds the right amount of emotion to it, McFadden's friendly relation too helps on spicing up this dish. The guest cast coming in- often playing the antagonist- invests equally and perpetually to this scoreboard. Advancing further than the previous series did, this journey also brings in rich traditional rituals and their own quirky references to the table. Star Trek: The Next Generation is your typical space ride, floating without any control it grabs everything like a child, and in its innocence and honesty it is one breathtaking ride.
Season 07The seventh act of the series seemed like an overstretched material where the writers were clearly running out of ideas, although to balance it properly, there are few brilliant concepts that defines the ingenious of Star Trek.Descent Part IIThis is basically one big rescue mission, where the rest of the crew sneak in smoothly while the Picard group mingle with each other trying to figure out how to blast their way out of the doors, a disappointing one, considering the previous half.",
0,"""Star Trek: The Next Generation"" Liaisons (TV Episode 1993)",Different methodology.,"ST:TNG:154 - ""Liaisons"" (Stardate: Unknown) - this is the 2nd episode of the 7th and last season of Star Trek: The Next Generation.The Enterprise welcomes Iyaaran ambassadors as part of a cultural exchange with this new race. While Troi gets an ambassador that loves food (especially dessert), Worf (who doesn't want to be an ambassador) gets one that's rude and selfish (getting on Worf's nerves). Meanwhile, Picard and a pilot are en route to their planet to meet the ambassador there but are forced to crash land on a desolate planet. With the pilot killed and Picard knocked unconscious, he is rescued by a woman named Anna who has been on this planet by herself for 7 years.But Picard soon suspects that Anna isn't who she seems, and neither are the ambassadors onboard the Enterprise.Trivia note: Troi's love of desserts is shown here - especially chocolate (including a chocolate puff with 17 varieties of chocolate in it)! Also, Anna crashed landed 7 years ago (an homage I think to the fact this is the 7th season). And, we see another one of the crew's poker games.",
1,"""Star Trek: The Next Generation"" Liaisons (TV Episode 1993)",Unusual ambassadors,"This episode sees the Enterprise hosting two Ilarian ambassadors as Picard travels to their home world with a third. Things get off to an awkward start when one of them, who was meant to be looked after by Riker, insists that he must be looked after by Worf. From then on he is consistently rude; it is almost as if he is deliberately goading Worf. The ambassador assigned to Troi couldn't be more different; he is friendly and keen to enjoy himself; especially when he discovers the delights of chocolate. Picard meanwhile has greater problems; the shuttle he is travelling in hits a spacial anomaly and crash lands on a remote planet. The Ilarian is seriously injured so Picard goes to seek help. He is caught in a plasma storm and rendered unconscious. When he wakes up he finds he has been moved to crashed cargo transporter by a woman who says she has been alone on the planet for seven years. She informs him that she went to the shuttle and found the Ilarian dead. He is determined to find a way to contact help but while she claims to be keen to escape the planet her actions suggest otherwise then she starts hitting on Picard; claiming to be in love with him!After a dramatic season opener this is more of an 'alien of the week' episode; that doesn't mean it isn't fun though. Of the two ambassadors on the Enterprise the one who is with Worf provides most of the entertainment; his belligerence and rudeness look sure to start a fight and when they finally do his reaction is priceless, we also have an hilarious moment when Data points out that all these negative traits mean he and Worf have a lot in common. The story on the planet is intriguing although I'm sure most viewers will get an inkling that the woman isn't what she claims to be long before Picard learns the truth. When we finally learn the reasons behind what we have seen it makes sense within the context of an alien race making contact with a new society. Overall this might not be a classic but it is still a decent episode with a good mix of drama and humour.",7
2,"""Star Trek: The Next Generation"" Liaisons (TV Episode 1993)","Worf, chocolate and a lady much like Kathy Bates in ""Misery""...","While ""Liasons"" is a pretty good episode, I should also point out that the problems that the Enterprise crew have with the Ilarians are EASY to figure out...and it makes no sense that it takes everyone so long to figure out what's happening! This is a serious weakness in an otherwise decent plot.When the Ilarian ambassadors enter the ship, one of the ambassadors requests that Worf escort him around instead of Riker. The other is escorted by Troi and he spends most of the show eating EVERYTHING that is edible. Later, Picard is stranded on a planet and is discovered by a screwy lady who is HIGHLY reminiscent of Kathy Batesin ""Misery"". What do these three things have in common? See the show.As I said, the idea in of the Ilarians is novel and interesting. I just wished it had been handled a tad differently--making it all a bit less obvious.",7
3,"""Star Trek: The Next Generation"" Liaisons (TV Episode 1993)","This episode is funny, in a Star Trek sort of way","Worf and Riker bro down while they put on dresses. Riker gets all SJW on Worf before complementing him. They meet up with Picard and Troi. Troi is wearing a dress too, but Picard just has on a snazzy jacket. They meet up with three aliens and then go to 10 forward for a party. Except for Picard, he and one of the aliens go for a bromantic shuttle ride.Everyone at the party in 10 forward has a grand old time except for Worf who gets to play waiter for his alien companion. Data makes small talk with Worf and its pretty funny, in a Star Trek sort of way.Meanwhile on the shuttle, Picard and his alien brodie are having an awkward moment when the power suddenly fails and they have to crash land on a desolate planet. Communications are out and Pircard's brodie is hurt so Picard goes outside to look for help. Its noteworthy how many breathable atmospheres there are in the Star Trek universe. He's hit by a plasma discharge and rescued by a stranger.Back on the Enterprise Worf is playing nice with his new frienemy (Geordi is too modest, I'd have said yes because its so obviously true). Troi is out and about with her new alien bestie who's never seen a child before. They make a new friend and then go get desert. Its funny, in a Star Trek sort of way.On the planet Picard awakens to find himself injured and alone with a mysterious women named Ana. She tells him that his Brodie is dead and then leaves the room for what I assume was a commercial break. Turns out she's been stranded herself for 7 years (since stardate 40812). Not to worry though, she's off to the shuttle to get a communications device.On the Enterprise Worf is plotting a murder. Riker and Troi are quite pleased with his frustrations. Its actually pretty funny, in a Star Trek sort of way. They plan to play a game of poker.Meanwhile Picard's new boo has destroyed the communications device with a phaser. She expresses her hopelessness, mulls over suicide, and confesses her love for Picard in an effort to get into his pants. Then she makes him dinner and starts forcing the issue while he works on a way off the planet. Its a little awkward.Worf is still bad at poker. Not only does he lack a poker face but he keeps his chips in front of another player. The ensuing conflict is completely predictable and somewhat funny, in a Star Trek sort of way.Hooray, Picard has MacGyvered a way off the planet but his savior would rather stay and bang him out. Her desperation is palpable. No means no Ana, no means no.Spoiler spoiler plot exposition spoiler.Picard and his brodie head back to the Enterprise where Worf and his new bestie have been fighting in the holodeck. Homeostasis is restored and the credits roll.Over all this episode is pretty good as a one off, but its not very memorable.
Every time I rewatch TNG I forget all about this episode until it rolls around. And then I end up enjoying the B-story on the Enterprise much more than the A-story on the planet. Its not badly written by any means, its just not quite to my taste.Verdict: Funny, in a Star Trek sort of way.",7
4,"""Star Trek: The Next Generation"" Liaisons (TV Episode 1993)",Star Trek: The Next Generation - Liaisons,"Iyaarans are new to the Federation (and the ways of officers and how they function emotionally/behaviorally), and so a ""cultural exchange"" takes place so that ""diplomatic relations"" could commence between the two parties. One of the Iyaarans seems to purposely instigate Worf's resolve, asking him to do menial deeds for him and constantly cutting him off, using belittling tactics to incite/goad him to anger. The other is introduced to desserts by Troi, and his appetites become insatiable. Picard takes a shuttle with the third Iyaaran, but the dialogue between them is rough at best. When the shuttlecraft hits an ""energy discharge"" during their journey, crashlanding on a planet with constant ""plasma interference"", Picard and the Iyaaran are hurt. The crash supposedly kills the Iyaaran while Picard strays from the shuttlecraft to search for medical assistance, hit by a ""plasma charge"" (basically a lightning bolt) and injured. He is pulled away by a woman named Anna, for whom he awakens to. She proves to be an obsessive captor needing Picard to love her! She even accosts him with kisses and appeals for his love in one strange scene as Picard has to force her off of his person! Told he has broken ribs and that the Iyaaran is dead, Picard recuperates and soon learns that Anna is not who she says. She tells him she has spent seven years on the uninhabited planet and that thoughts of leaping from a precipice to her doom have crept in her heart at moments. When her love isn't shared and Picard ""calls her bluff"" on jumping (a necklace is a clue), he soon discovers something the Iyaarans have been needing to understand is the reason he's on the godforsaken planet. Human emotion (well, not just human, just concepts like love, antagonism, and the joy of ""bad food"") intrigues the Iyaarans so they want to get as much understanding of it as possible. Okay episode is more amusing than anything else, a tiny blip within the long-running series, ""Liaisons"" won't be confused with Yesterday's Enterprise or Relics, but it has its entertainment value. If anything seeing Worf uncomfortably stuck in a diplomatic role has its comic value, and seeing the Iyaaran rise up after being physically assaulted by Worf thanking the Klingon for enlightening him on the use of violence on the receiving end of antagonism is a hoot! Troi getting tired of chocolate after her Iyaaran has been feeding himself silly over the course of his stay is also quite funny. ""Liaisons"" is more of a diversion than something you'll remember long after its over. The planet Picard and Anna (stuck in a freighter that had crashed with Anna the only survivor, those once on the ship Terrellians, had perished) are trapped is another one of those barren, rocky horrors with constant electrical discharges quite used in the early seasons.",6
5,"""Star Trek: The Next Generation"" Liaisons (TV Episode 1993)",So Many Characters Seem Able to Perform Magic,"Three ""Larians"" are visiting the Enterprise on a diplomatic mission. Each has an interesting being about him. One is gregarious, attracted to Troi and food. He gorges himself and acts as a glutton for pleasure. The second is a hostile, confrontational bully, who chooses Worf to attend to him and then abuses his powers (obviously, Worf can do nothing because these are their guests). The third goes on a mission with Picard on a shuttlecraft. He barely speaks to Picard, seeming to be quite annoyed at being with him. A malfunction in the shuttlecraft sends them to a planet that has intense storms. They are trapped and Picard, leaving his ""friend"" behind (he was badly injured in the crash) tries a bit of reconnaissance but is hit by a bolt from the sky. He is rescued by an attractive young woman who takes him with her to her hiding place. She nurses him, but keeps him locked up. I think that if there is a bit of a weakness in the verisimilitude in this series, it has to do with shape changing and out and out magical abilities of the aliens. I will not spoil anything, but even in science fiction, there are some things that are far fetched. It's a fun episode if one doesn't think too much.",7
6,"""Star Trek: The Next Generation"" Liaisons (TV Episode 1993)",for three days..,"Star Trek: The Next GenerationRoddenberry's second creation of an elite group exploring space through humanity is a remarkable milestone for not only television but the sci-fi genre itself. As it quips repetitively, it dares go where no one has been before, and analyzes the good and bad of the nature. And it's that wide range of nature that is touched down, in all its hokum that it calls for, the answers are overwhelming to all the questions thrown out to it. Unlike the previous series, it has much more characters to handle which is a double edge sword. On the pro section, it helps writers jump in on diverse categories through them and swoop in as much as material possible through their individual perspective and still keep it all inside a definite and familiar circle.On the other hand, it also is challenging to fiddle around these many characters on screen, especially the amount of new contents and eerie ideas each episode comes up with, it increases the possibility to lean towards flaws. And yes, it has its own limitation, but in its own gullible range and potential, it just simply works. Plus, what's fascinating is despite of being brimmed with these many personas floating about in the space, they haven't allotted any stereotypical specific characteristics to the characters, their species and nature may definitely vary, but a cheesy note is strictly prohibited in Enterprise-D.The infamous Capt. Jean-Luc Picard played by Stewart who is mostly known by this role from his career, is exceptionally well crafted character that is simply nothing but a good leader and add Stewart's performance to that, the outcome is your iconic character that survives decades easily. Sirtis as the consciously enhanced counselor fits perfectly in the ship and the makers makes sure either they keep her up front to notify the shady part of the plot or distracts her wisely to advance the plot.Frakes, once again, a competent leader and warrior that is more explored into love affairs while Dorn as a hot head and Burton as the most adapting and willful learner on the ship helps make the environment more engaging and realistic. Spiner as the android, Lt. Commander Data, who means nothing but business, unfortunately, is the guy that means the least amount of business, often relied upon for the humor, he might be explored thoroughly but is rarely projected with sincerity.Personally, I prefer Stewart's mellow equation with Wheaten who looks up to him as a father figure and adds the right amount of emotion to it, McFadden's friendly relation too helps on spicing up this dish. The guest cast coming in- often playing the antagonist- invests equally and perpetually to this scoreboard. Advancing further than the previous series did, this journey also brings in rich traditional rituals and their own quirky references to the table. Star Trek: The Next Generation is your typical space ride, floating without any control it grabs everything like a child, and in its innocence and honesty it is one breathtaking ride.Season 07The seventh act of the series seemed like an overstretched material where the writers were clearly running out of ideas, although to balance it properly, there are few brilliant concepts that defines the ingenious of Star Trek.LiaisonsA bit slow on all the aspects and tracks of the film, and what hurts the most is that after the dust settles and the music stops there is no difference to tell things apart are we a bit smarter definitely not, and have the characters grown, nope.",
0,"""Star Trek: The Next Generation"" Interface (TV Episode 1993)",Geordi's family finally revealed.,"ST:TNG:155 - ""Interface"" (Stardate: 47215.5) - this is the 3rd episode of the 7th and last season of Star Trek: The Next Generation.In this episode, we get to finally see Geordi's often mentioned Starfleet parents who are serving on separate ships. When Picard assigns Geordi to use an experimental interface unit to rescue a science vessel that's trapped inside the atmosphere of a gas giant, Geordi learns that the starship Hera commanded by his mother, Silva La Forge (played by Madge Sinclair) has disappeared and is presumed that all is dead.However, when he goes back into the science ship with his interface, he comes face to face with his mother, who is alive.Also guest starring Ben Vereen as Geordi's father, Commander Edward M. LaForge, M.D.Trivia note: the Excelsior is mentioned as one of the rescue ships. Madge Sinclair also played the Saratoga captain in Star Trek IV (the first female starship captain shown in Star Trek). We see Geordi get angry for one of the very few times in the series.",
